STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00449151,"WILLIAMSBURG 2 N, VA US",1/1/2022,0.03,73,57,69
USC00449151,"WILLIAMSBURG 2 N, VA US",1/2/2022,0.74,70,52,52
USC00449151,"WILLIAMSBURG 2 N, VA US",1/3/2022,1.86,52,27,27
USC00449151,"WILLIAMSBURG 2 N, VA US",1/4/2022,0,38,24,30
USC00449151,"WILLIAMSBURG 2 N, VA US",1/5/2022,0.01,49,30,47
USC00449151,"WILLIAMSBURG 2 N, VA US",1/6/2022,0.05,54,37,45
USC00449151,"WILLIAMSBURG 2 N, VA US",1/7/2022,0,46,27,27
USC00449151,"WILLIAMSBURG 2 N, VA US",1/8/2022,0,38,23,30
USC00449151,"WILLIAMSBURG 2 N, VA US",1/9/2022,0.5,62,29,53
USC00449151,"WILLIAMSBURG 2 N, VA US",1/10/2022,0.03,53,33,33
USC00449151,"WILLIAMSBURG 2 N, VA US",1/11/2022,0,34,22,22
USC00449151,"WILLIAMSBURG 2 N, VA US",1/12/2022,0,51,22,37
USC00449151,"WILLIAMSBURG 2 N, VA US",1/13/2022,0,51,28,37
USC00449151,"WILLIAMSBURG 2 N, VA US",1/14/2022,0,52,36,37
USC00449151,"WILLIAMSBURG 2 N, VA US",1/15/2022,0,38,25,25
USC00449151,"WILLIAMSBURG 2 N, VA US",1/16/2022,1.86,54,24,42
USC00449151,"WILLIAMSBURG 2 N, VA US",1/17/2022,0.01,44,34,34
USC00449151,"WILLIAMSBURG 2 N, VA US",1/18/2022,0,46,26,26
USC00449151,"WILLIAMSBURG 2 N, VA US",1/19/2022,0,58,25,48
USC00449151,"WILLIAMSBURG 2 N, VA US",1/20/2022,0.42,49,32,32
USC00449151,"WILLIAMSBURG 2 N, VA US",1/21/2022,0.03,32,22,22
USC00449151,"WILLIAMSBURG 2 N, VA US",1/22/2022,0.05,35,20,20
USC00449151,"WILLIAMSBURG 2 N, VA US",1/23/2022,0,41,19,32
USC00449151,"WILLIAMSBURG 2 N, VA US",1/24/2022,0,46,25,37
USC00449151,"WILLIAMSBURG 2 N, VA US",1/25/2022,0,57,34,34
USC00449151,"WILLIAMSBURG 2 N, VA US",1/26/2022,0,37,24,25
USC00449151,"WILLIAMSBURG 2 N, VA US",1/27/2022,0,41,19,26
USC00449151,"WILLIAMSBURG 2 N, VA US",1/28/2022,0.25,45,26,32
USC00449151,"WILLIAMSBURG 2 N, VA US",1/29/2022,0.14,32,20,21
USC00449151,"WILLIAMSBURG 2 N, VA US",1/30/2022,0,36,12,26
USC00449151,"WILLIAMSBURG 2 N, VA US",1/31/2022,0,46,21,30
USC00449151,"WILLIAMSBURG 2 N, VA US",2/1/2022,0,47,28,28
USC00449151,"WILLIAMSBURG 2 N, VA US",2/2/2022,0,53,26,41
USC00449151,"WILLIAMSBURG 2 N, VA US",2/3/2022,0.01,63,40,61
USC00449151,"WILLIAMSBURG 2 N, VA US",2/4/2022,0.3,70,37,37
USC00449151,"WILLIAMSBURG 2 N, VA US",2/5/2022,0,40,27,28
USC00449151,"WILLIAMSBURG 2 N, VA US",2/6/2022,0,37,25,34
USC00449151,"WILLIAMSBURG 2 N, VA US",2/7/2022,0.57,42,34,39
USC00449151,"WILLIAMSBURG 2 N, VA US",2/8/2022,0.01,46,30,30
USC00449151,"WILLIAMSBURG 2 N, VA US",2/9/2022,0,59,26,33
USC00449151,"WILLIAMSBURG 2 N, VA US",2/10/2022,0,65,33,48
USC00449151,"WILLIAMSBURG 2 N, VA US",2/11/2022,0,68,34,51
USC00449151,"WILLIAMSBURG 2 N, VA US",2/12/2022,0,72,47,48
USC00449151,"WILLIAMSBURG 2 N, VA US",2/13/2022,0,48,30,31
USC00449151,"WILLIAMSBURG 2 N, VA US",2/14/2022,0,37,24,24
USC00449151,"WILLIAMSBURG 2 N, VA US",2/15/2022,0,42,19,27
USC00449151,"WILLIAMSBURG 2 N, VA US",2/16/2022,0,61,25,51
USC00449151,"WILLIAMSBURG 2 N, VA US",2/17/2022,0,75,51,66
USC00449151,"WILLIAMSBURG 2 N, VA US",2/18/2022,0.13,69,33,33
USC00449151,"WILLIAMSBURG 2 N, VA US",2/19/2022,0,56,26,32
USC00449151,"WILLIAMSBURG 2 N, VA US",2/20/2022,0,47,24,34
USC00449151,"WILLIAMSBURG 2 N, VA US",2/21/2022,0,68,31,54
USC00449151,"WILLIAMSBURG 2 N, VA US",2/22/2022,0,71,54,65
USC00449151,"WILLIAMSBURG 2 N, VA US",2/23/2022,0.11,70,52,56
USC00449151,"WILLIAMSBURG 2 N, VA US",2/24/2022,0.22,56,36,36
USC00449151,"WILLIAMSBURG 2 N, VA US",2/25/2022,0.02,62,36,43
USC00449151,"WILLIAMSBURG 2 N, VA US",2/26/2022,0,44,35,38
USC00449151,"WILLIAMSBURG 2 N, VA US",2/27/2022,0,49,35,36
USC00449151,"WILLIAMSBURG 2 N, VA US",2/28/2022,0,49,29,32
USC00449151,"WILLIAMSBURG 2 N, VA US",3/1/2022,0,64,30,49
