Shell Length (mm),Lifespan (years),Pleistocene Locality,State
35.01,,Holland Point,VA
35.02,,Holland Point,VA
35.03,,Holland Point,VA
35.08,,Holland Point,VA
35.09,,Holland Point,VA
35.12,,Cherry Point,VA
35.2,,Holland Point,VA
35.23,,Holland Point,VA
35.4,,Holland Point,VA
35.56,,Holland Point,VA
35.56,,Holland Point,VA
35.66,,Holland Point,VA
35.81,,Holland Point,VA
35.83,,Cherry Point,VA
35.84,,Holland Point,VA
35.88,,Holland Point,VA
35.89,,Holland Point,VA
35.9,,Holland Point,VA
36.12,,Holland Point,VA
36.17,,Holland Point,VA
36.31,,Holland Point,VA
36.43,,Holland Point,VA
36.52,,Holland Point,VA
36.6,,Holland Point,VA
36.87,,Holland Point,VA
37.05,,Holland Point,VA
37.1,,Holland Point,VA
37.2,,Holland Point,VA
37.27,,Holland Point,VA
37.3,,Holland Point,VA
37.34,,Holland Point,VA
37.53,,Holland Point,VA
37.61,,Holland Point,VA
37.62,,Holland Point,VA
38.08,,Holland Point,VA
38.1,,Holland Point,VA
38.18,,Holland Point,VA
38.33,,Holland Point,VA
38.35,,Holland Point,VA
38.38,,Holland Point,VA
38.48,,Holland Point,VA
38.95,,Holland Point,VA
39.01,,Holland Point,VA
39.19,,Cherry Point,VA
39.28,,Holland Point,VA
39.33,,Holland Point,VA
39.46,,Holland Point,VA
39.46,,Holland Point,VA
39.7,,Holland Point,VA
39.7,,Holland Point,VA
39.73,,Holland Point,VA
40.03,,Holland Point,VA
40.09,,Holland Point,VA
40.24,,Holland Point,VA
40.3,,Holland Point,VA
40.6,,Holland Point,VA
40.81,,Holland Point,VA
40.86,,Holland Point,VA
40.95,,Holland Point,VA
41.05,,Holland Point,VA
41.05,,Holland Point,VA
41.25,,Holland Point,VA
41.45,,Holland Point,VA
41.46,,Holland Point,VA
41.49,,Holland Point,VA
41.66,,Holland Point,VA
41.78,,Holland Point,VA
41.8,,Holland Point,VA
41.98,,Holland Point,VA
42.17,,Holland Point,VA
42.22,,Holland Point,VA
42.56,,Holland Point,VA
42.74,,Holland Point,VA
42.86,,Holland Point,VA
42.99,,Holland Point,VA
42.99,,Holland Point,VA
43.28,,Holland Point,VA
43.69,,Holland Point,VA
43.74,,Holland Point,VA
43.75,,Holland Point,VA
43.83,,Holland Point,VA
43.92,,Holland Point,VA
43.95,,Holland Point,VA
44.07,,Holland Point,VA
44.08,,Holland Point,VA
44.23,,Holland Point,VA
44.23,,Holland Point,VA
44.35,,Holland Point,VA
44.37,,Holland Point,VA
44.44,,Holland Point,VA
44.45,,Holland Point,VA
44.56,,Holland Point,VA
44.6,,Holland Point,VA
44.78,,Holland Point,VA
44.78,,Holland Point,VA
44.8,,Holland Point,VA
44.95,,Holland Point,VA
45.03,,Holland Point,VA
45.21,,Holland Point,VA
45.28,,Holland Point,VA
45.3,,Holland Point,VA
45.36,,Holland Point,VA
45.42,,Holland Point,VA
45.42,,Holland Point,VA
45.52,,Holland Point,VA
45.87,,Holland Point,VA
45.87,,Holland Point,VA
45.99,,Holland Point,VA
46.06,,Holland Point,VA
46.27,,Holland Point,VA
46.36,,Cherry Point,VA
46.43,,Holland Point,VA
46.43,,Holland Point,VA
46.49,,Holland Point,VA
46.95,,Holland Point,VA
46.95,,Holland Point,VA
46.98,,Holland Point,VA
47.02,,Holland Point,VA
47.02,,Holland Point,VA
47.05,,Holland Point,VA
47.23,,Holland Point,VA
47.26,,Holland Point,VA
47.32,,Holland Point,VA
47.36,,Holland Point,VA
47.42,,Holland Point,VA
47.65,,Holland Point,VA
47.99,,Holland Point,VA
48.27,,Holland Point,VA
48.31,,Holland Point,VA
48.42,,Holland Point,VA
48.48,,Holland Point,VA
48.86,,Holland Point,VA
48.86,,Holland Point,VA
48.89,,Holland Point,VA
48.92,,Holland Point,VA
49.02,,Holland Point,VA
49.13,,Holland Point,VA
49.36,,Holland Point,VA
49.37,,Holland Point,VA
50,,Holland Point,VA
50.14,,Holland Point,VA
50.19,,Holland Point,VA
50.21,,Holland Point,VA
50.32,,Holland Point,VA
50.59,,Holland Point,VA
50.68,,Holland Point,VA
50.95,,Holland Point,VA
51.05,,Holland Point,VA
51.06,,Holland Point,VA
51.19,,Holland Point,VA
51.2,,Wailes Bluff,MD
51.46,,Holland Point,VA
51.64,,Holland Point,VA
51.66,,Holland Point,VA
51.66,,Holland Point,VA
51.72,,Holland Point,VA
51.73,,Cherry Point,VA
51.91,,Holland Point,VA
52.1,1,Cherry Point,VA
52.13,,Holland Point,VA
52.35,,Holland Point,VA
52.55,,Holland Point,VA
52.56,,Holland Point,VA
52.64,,Holland Point,VA
52.7,,Holland Point,VA
53,,Holland Point,VA
53.02,,Holland Point,VA
53.15,,Holland Point,VA
53.19,,Holland Point,VA
53.3,,Holland Point,VA
53.32,,Holland Point,VA
53.67,,Holland Point,VA
53.74,,Holland Point,VA
54.03,,Holland Point,VA
54.33,,Holland Point,VA
54.57,,Holland Point,VA
55.1,,Holland Point,VA
55.41,,Holland Point,VA
55.42,,Holland Point,VA
55.51,,Holland Point,VA
55.8,,Holland Point,VA
55.85,,Holland Point,VA
56.04,,Holland Point,VA
56.79,,Holland Point,VA
56.91,,Holland Point,VA
57.15,,Holland Point,VA
57.15,2.67,Wailes Bluff,MD
57.16,,Holland Point,VA
57.4,,Holland Point,VA
57.71,,Holland Point,VA
57.73,,Holland Point,VA
57.86,,Holland Point,VA
58.07,,Holland Point,VA
58.35,,Holland Point,VA
58.44,,Holland Point,VA
58.79,,Holland Point,VA
58.79,,Holland Point,VA
58.8,,Holland Point,VA
58.8,,Holland Point,VA
58.84,,Holland Point,VA
58.95,,Holland Point,VA
60.24,,Holland Point,VA
60.53,,Holland Point,VA
60.56,,Holland Point,VA
60.6,2,Holland Point,VA
60.89,,Holland Point,VA
60.9,,Holland Point,VA
60.99,,Holland Point,VA
61.1,,Holland Point,VA
61.12,,Holland Point,VA
61.41,,Holland Point,VA
61.87,,Holland Point,VA
61.97,,Holland Point,VA
62.43,,Holland Point,VA
62.98,4.66,Wailes Bluff,MD
63.1,,Holland Point,VA
63.1,5.33,Wailes Bluff,MD
63.14,,Holland Point,VA
63.33,6.33,Wailes Bluff,MD
63.55,,Holland Point,VA
63.55,,Holland Point,VA
63.84,,Holland Point,VA
64.07,,Holland Point,VA
64.7,,Holland Point,VA
64.95,4.33,Wailes Bluff,MD
65.08,,Holland Point,VA
65.12,,Holland Point,VA
65.29,,Holland Point,VA
65.37,,Holland Point,VA
65.9,,Holland Point,VA
65.91,,Holland Point,VA
65.91,,Holland Point,VA
65.92,,Holland Point,VA
65.92,,Holland Point,VA
65.94,6,Holland Point,VA
66.04,,Holland Point,VA
66.05,,Holland Point,VA
66.06,,Holland Point,VA
66.24,,Holland Point,VA
66.32,,Holland Point,VA
66.49,,Holland Point,VA
66.57,,Holland Point,VA
66.66,,Cherry Point,VA
66.73,,Holland Point,VA
67.31,5.33,Wailes Bluff,MD
67.61,,Holland Point,VA
68.27,,Holland Point,VA
68.33,,Holland Point,VA
68.52,,Holland Point,VA
68.98,,Holland Point,VA
69.1,,Holland Point,VA
69.29,,Holland Point,VA
69.32,,Holland Point,VA
69.34,,Holland Point,VA
69.36,,Holland Point,VA
69.46,,Cherry Point,VA
70.67,,Holland Point,VA
71.21,,Holland Point,VA
71.23,,Holland Point,VA
71.25,5,Holland Point,VA
71.25,,Holland Point,VA
71.39,,Holland Point,VA
71.48,,Holland Point,VA
71.51,,Holland Point,VA
72.6,,Holland Point,VA
72.62,,Holland Point,VA
73.14,,Holland Point,VA
73.22,,Holland Point,VA
73.33,9.66,Wailes Bluff,MD
73.51,,Holland Point,VA
73.54,,Holland Point,VA
73.65,,Holland Point,VA
73.74,,Holland Point,VA
74.16,3,Holland Point,VA
74.16,,Holland Point,VA
74.3,,Holland Point,VA
