Source,Site Location[a],Latitude (deg),Longitude (deg),D (cm2/yr),D[b] uncertainty (cm2/yr),AI,MAP (cm/yr),Underlying lithology description,Lithology category[c],Technique description,Technique category[d],Vegetation description,Vegetation category[e]
Almond et al. [2008] ,"Charwell Basin, New Zealand",-42.45,173.357,50,20,1.42,116,Loess underlain by fluvial gravel terraces ,1,Erosion rate and curvature. Estimate is for the Holocene. Similar technique to Roering et al. (2002). ,2,"Podocarp, hardwood, and beech forest",3
Almond et al. [2008] ,"Ahuriri, New Zealand",-43.702,172.584,70,20,0.76,68.8,Thick loess deposits underlain by altered basalt,1,137Cs fallout nuclides (50 yr timescale) and curvature. Similar technique to Roering et al. (2002).  ,2,Recolonization of forest during Holocene. Recently introduced pasture grasses. ,2
Arrowsmith et al. (1998),"Carrizo Plain, CA, USA",35.271,-119.827,86,8,0.33,46.7,Conglomerate and alluvial fan units.,2,Scarp modeling,1,Grasses and shrubs,2
Avouac and Peltzer (1993),"Hotan Region, Xinjiang, China",36.8,80.5,33,14,0.03,3.3,Loose fan gravels,1,Scarp modeling,1,Unvegetated,1
Avouac et al. (1993),"Tien Shan, China",44.048,86.79,55,25,0.19,18.4,Loose fan gravels,1,Scarp modeling,1,Grasses and shrubs,2
Ben-Asher et al. (2017),"Odem cinder cone, Golan Heights, Israel",33.197,35.755,12,--,0.71,79.1,Cinder,1,Assumed initial shape and age in conjunction with a numerical model,1,scrubland,2
Ben-Asher et al. (2017),"Baron cinder cone, Golan Heights, Israel",33.158,35.779,32,--,0.64,73,Cinder,1,Assumed initial shape and age in conjunction with a numerical model,3,scrubland,2
Ben-Asher et al. (2017),"Bental cinder cone, Golan Heights, Israel",33.13,35.783,56,--,0.64,72.8,Cinder,1,Assumed initial shape and age in conjunction with a numerical model,3,scrubland,2
Ben-Asher et al. (2017),"Shifon cinder cone, Golan Heights, Israel",33.069,35.771,54,--,0.57,66.1,Cinder,1,Assumed initial shape and age in conjunction with a numerical model,3,scrubland,2
Ben-Asher et al. (2017),"Fares cinder cones, Golan Heights, Israel",32.96,35.865,63,--,0.44,53.9,Cinder,1,Assumed initial shape and age in conjunction with a numerical model,3,scrubland,2
Begin (1992),"Northern Negev, Israel",31.262,34.802,4,3,0.16,23.3,Fluvial gravel terraces,1,Scarp modeling,3,Unvegetated,1
Bowman and Gerson (1986),"Lake Lisan, Dead Sea, Israel",31.386,35.361,4,--,0.07,10.9,Gravel ,1,Scarp modeling,1,Unvegetated,1
Bowman and Gross (1989) as reported in Hanks (2000),"Northern Arava, Israel",30.658,35.24,4,--,0.04,6,Gravel ,1,Scarp modeling,1,Unvegetated,1
